----------------
Fitness: 106430.49546602713
* SIMULATED CIRCUIT
C_172 191 115 0.0000000027
C_246 223 213 0.000000001
C_74 165 129 0.00000001
C_194 115 180 0.000000056
L_255 213 167 0.1
C_263 151 149 0.0000000016200000000000002
C_154 208 146 0.0000000039
C_283 191 242 0.000000001
C_65 146 124 0.0000022
C_195 153 143 0.000000056
C_100 129 151 0.000001
C_208 124 191 0.000000022000000000000002
L_166 226 167 0.00001
C_222 189 143 0.000000015000000000000002
L_129 156 151 0.1
C_142 142 146 0.0000000036000000000000004
L_278 215 223 0.15000000000000002
C_244 202 191 0.000000022599999999999997
C_289 229 189 0.0000000178
L_290 186 172 0.0000000147
C_235 201 191 0.0000226
L_285 153 215 0.000036
C_218 149 193 0.0000018
L_156 139 165 0.000022000000000000003
C_269 221 208 0.000000033
L_59 165 124 0.0000082
L_275 202 229 0.000000027000000000000004
C_281 124 226 0.00030000000000000003
L_110 208 146 0.000007499999999999999
L_191 220 129 0.039
L_256 151 229 0.000681
C_291 231 237 0.000009999999999999999
L_131 143 201 0.1
C_88 151 176 0.000000031600000000000005
L_248 151 193 0.82
L_214 192 189 0.000056
C_145 186 147 0.0000000015000000000000002
C_71 115 147 0.0000000015000000000000002
C_297 234 163 0.00000022
C_155 172 165 0.0000000022000000000000003
R_2 208 1 50
L_120 208 148 0.00001
L_284 143 165 0.008199999999999999
C_215 238 190 0.00000042199999999999994
L_317 242 167 0.000000091
L_211 190 170 0.00000511
L_262 237 165 0.0000022
C_259 170 215 0.000027000000000000002
L_298 208 201 0.01
L_204 153 228 0.000000022000000000000002
L_175 149 156 0.000015000000000000002
L_224 129 191 0.0056
L_126 149 221 0.00075
R_3 115 139 50
L_261 242 115 0.000047000000000000004
C_279 201 139 0.000000033
L_276 156 143 0.22000000000000003
L_182 163 115 0.00024900000000000004
V_1 1 139 AC 1
L_231 193 176 0.00000018
L_304 180 228 0.0681
L_249 177 163 0.0000001
L_61 147 165 0.0681
C_228 165 156 0.0000032999999999999997
L_253 129 231 0.01
L_307 193 238 0.00000032999999999999996
L_106 115 214 0.82
L_161 156 234 0.5599999999999999
L_176 142 172 0.000001
C_135 165 147 0.00001
C_271 214 176 0.0000000681
C_309 147 172 0.00000068
C_273 191 223 0.00068
C_157 172 148 0.00000000301
C_192 177 220 0.00000000383
C_205 189 228 0.00000002
C_209 170 180 0.0000001
L_119 139 146 0.000000012
C_217 170 192 0.00027000000000000006
L_168 153 186 0.196
C_295 115 220 0.0000000022000000000000003

